codigo	descriptor completo	descriptor corto		
8591/1	"Tumor de cordones sexuales y estroma gonadal, incompletamente diferenciado"	"Tumor cordones sexuales y estroma gonadal, incompl. difer."		
8592/1	"Tumor de cordones sexuales y estroma gonadal, formas mixtas"	"Tumor, cordones sexuales y estroma gonadal, formas mixtas"		
8593/1	Tumor de estroma con elementos menores de cordones sexuales	"Tumor, estroma con elementos menores, cordones sexuales"		
8600/0	"Tecoma, SAI"	"Tecoma, SAI"		
8600/3	Tecoma maligno	Tecoma maligno		
8600/6	"Tecoma maligno, metástasis"	"Tecoma maligno, metástasis"		
8601/0	Tecoma luteinizado	Tecoma luteinizado		
8602/0	Tumor esclerosante del estroma	"Tum. esclerosante, estroma"		
8610/0	"Luteoma, SAI"	"Luteoma, SAI"		
8620/1	"Tumor de células de la granulosa, tipo adulto"	"Tumor, cél., la granulosa, tipo adulto"		
8620/3	Tumor maligno de células de la granulosa	"Tum. maligno, cél. granulosa"		
8620/6	"Tumor maligno de células de la granulosa, metástasis"	"Tum. maligno, cél.granulosa, metástasis"		
8621/1	Tumor de células de la granulosa y de la teca	"Tumor, cél., la granulosa y, la teca"		
8622/1	Tumor de células de la granulosa juvenil	"Tumor, cél., la granulosa juvenil"		
8623/1	Tumor de los cordones sexuales con túbulos anulares	"Tumor, los cordones sexuales con túbulos anulares"		
8630/0	Androblastoma benigno	Androblastoma benigno		
8630/1	"Androblastoma, SAI"	"Androblastoma, SAI"		
8630/3	Androblastoma maligno	Androblastoma maligno		
8630/6	"Androblastoma maligno, metástasis"	"Androblastoma maligno, metástasis"		
8631/0	"Tumor de células de Sertoli-Leydig, bien diferenciado"	"Tumor, cél., Sertoli-Leydig, bien diferenciado"		
8631/1	Tumor de células de Sertoli-Leydig de diferenciación intermedia	"Tumor, cél., Sertoli-Leydig, diferenciación intermedia"		
8631/3	"Tumor de células de Sertoli-Leydig, mal diferenciado"	"Tumor, cél., Sertoli-Leydig, mal diferenciado"		
8631/6	"Tumor de células de Sertoli-Leydig, mal diferenciado, metástasis"	"Tumor, cél., Sertoli-Leydig, mal diferenciado, metástasis"		
8632/1	Ginandroblastoma	Ginandroblastoma		
8633/1	"Tumor de células de Sertoli-Leydig, retiforme"	"Tumor, cél., Sertoli-Leydig, retiforme"		
8634/1	"Tumor de células de Sertoli-Leydig, diferenciación intermedia, con elementos heterólogos"	"Tumor cél. Sertoli-Leydig difer. intermedia, elem. heterólogos"		
8634/3	"Tumor de células de Sertoli-Leydig, mal diferenciado, con elementos heterólogos"	"Tumor cél. Sertoli-Leydig mal diferenciado, con elementos heterólogos"		
8634/6	"Tumor de células de Sertoli-Leydig, mal diferenciado, con elementos heterólogos, metástasis"	"Tumor cél. Sertoli-Leydig mal difer. elem. heterólogos, metástasis"		
8640/1	"Tumor de células de Sertoli, SAI"	"Tumor, cél., Sertoli, SAI"		
8640/3	Carcinoma de células de Sertoli	"Carcinoma, cél., Sertoli"		
8640/6	"Carcinoma de células de Sertoli, metástasis"	"Carcinoma, cél., Sertoli, metástasis"		
8641/0	Tumor de células de Sertoli con depósito de lípidos	"Tumor, cél., Sertoli con depósito, lípidos"		
8642/1	Tumor de células de Sertoli calcificante de células grandes	"Tumor, cél., Sertoli calcificante, cél. grandes"		
8650/0	Tumor benigno de células de Leydig	"Tum. benigno, cél., Leydig"		
8650/1	"Tumor de células de Leydig, SAI"	"Tumor, cél., Leydig, SAI"		
8650/3	Tumor maligno de células de Leydig	"Tum. maligno, cél. Leydig"		
8650/6	"Tumor maligno de células de Leydig, metástasis"	"Tum. maligno, cél. Leydig, metástasis"		
8660/0	Tumor de células del hilio	"Tumor, cél., hilio"		
8670/0	Tumor de células lipídicas del ovario	"Tumor, cél. lipídicas, ovario"		
8670/3	"Tumor de células esteroideas, maligno"	"Tumor, cél. esteroideas, maligno"		
8670/6	"Tumor de células esteroideas, maligno, metástasis"	"Tumor, cél. esteroideas, maligno, metástasis"		
8671/0	Tumor de restos suprarrenales	"Tumor, restos suprarrenales"		
8680/0	"Paraganglioma, benigno"	"Paraganglioma, benigno"		
8680/1	"Paraganglioma, SAI"	"Paraganglioma, SAI"		
8680/3	Paraganglioma maligno	Paraganglioma maligno		
8680/6	"Paraganglioma maligno, metástasis"	"Paraganglioma maligno, metástasis"		
8681/1	Paraganglioma simpático	Paraganglioma simpático		
8682/1	Paraganglioma parasimpático	Paraganglioma parasimpático		
8683/0	Paraganglioma gangliocítico	Paraganglioma gangliocítico		
8690/1	Tumor del corpúsculo yugular	"Tumor, corpúsculo yugular"		
8691/1	Tumor del corpúsculo aórtico	"Tumor, corpúsculo aórtico"		
8692/1	Tumor del cuerpo carotídeo	"Tumor, cuerpo carotídeo"		
8693/1	"Paraganglioma extrasuprarrenal, SAI"	"Paraganglioma extrasuprarrenal, SAI"		
8693/3	Paraganglioma maligno extrasuprarrenal	Paraganglioma maligno extrasuprarrenal		
8693/6	"Paraganglioma maligno extrasuprarrenal, metástasis"	"Paraganglioma maligno extrasuprarrenal, metástasis"		
8700/0	"Feocromocitoma, SAI"	"Feocromocitoma, SAI"		
8700/3	Feocromocitoma maligno	Feocromocitoma maligno		
8700/6	"Feocromocitoma maligno, metástasis"	"Feocromocitoma maligno, metástasis"		
8710/3	Glomangiosarcoma	Glomangiosarcoma		
8710/6	"Glomangiosarcoma, metástasis"	"Glomangiosarcoma, metástasis"		
8711/0	"Tumor glómico, SAI"	"Tum. glómico, SAI"		
8711/3	"Tumor de glomus, maligno"	"Tumor, glomus, maligno"		
8711/6	"Tumor de glomus, maligno, metástasis"	"Tumor, glomus, maligno, metástasis"		
8712/0	Glomangioma	Glomangioma		
8713/0	Glomangiomioma	Glomangiomioma		
8720/0	"Nevus pigmentado, SAI"	"Nevus pigmentado, SAI"		
8720/2	Melanoma in situ	Melanoma in situ		
8720/3	"Melanoma maligno, SAI"	"Melanoma maligno, SAI"		
8720/6	"Melanoma maligno, SAI, metástasis"	"Melanoma maligno, SAI, metástasis"		
8721/3	Melanoma nodular	Melanoma nodular		
8721/6	"Melanoma nodular, metástasis"	"Melanoma nodular, metástasis"		
8722/0	Nevus de células en globo	"Nevus, cél. en globo"		
8722/3	Melanoma de células en globo	"Melanoma, cél. en globo"		
8722/6	"Melanoma de células en globo, metástasis"	"Melanoma, cél. en globo, metástasis"		
8723/0	Nevus con halo	Nevus con halo		
8723/3	Melanoma maligno en regresión	Melanoma maligno en regresión		
8723/6	"Melanoma maligno en regresión, metástasis"	"Melanoma maligno en regresión, metástasis"		
8725/0	Neuronevus	Neuronevus		
8726/0	Nevus magnocelular	Nevus magnocelular		
8727/0	Nevus displásico	Nevus displásico		
8728/0	Melanocitosis difusa	Melanocitosis difusa		
8728/1	Melanocitoma meníngeo	Melanocitoma meníngeo		
8728/3	Melanomatosis meníngea	Melanomatosis meníngea		
8728/6	"Melanomatosis meníngea, metástasis"	"Melanomatosis meníngea, metástasis"		
8730/0	Nevus no pigmentado	Nevus no pigmentado		
8730/3	Melanoma amelanótico	Melanoma amelanótico		
8730/6	"Melanoma amelanótico, metástasis"	"Melanoma amelanótico, metástasis"		
8740/0	"Nevus de la unión, SAI"	"Nevus, la unión, SAI"		
8740/3	Melanoma maligno en nevus de unión	"Melanoma maligno en nevus, unión"		
8740/6	"Melanoma maligno en nevus de unión, metástasis"	"Melanoma maligno en nevus, unión, metástasis"		
8741/2	"Melanosis precancerosa, SAI"	"Melanosis precancerosa, SAI"		
8741/3	Melanoma maligno en melanosis precancerosa	Melanoma maligno en melanosis precancerosa		
8741/6	"Melanoma maligno en melanosis precancerosa, metástasis"	"Melanoma maligno en melanosis precancerosa, metástasis"		
8742/2	Léntigo maligno	Léntigo maligno		
8742/3	Melanoma en léntigo maligno	Melanoma en léntigo maligno		
8742/6	"Melanoma en léntigo maligno, metástasis"	"Melanoma en léntigo maligno, metástasis"		
8743/3	Melanoma de extensión superficial	"Melanoma, extensión superficial"		
8743/6	"Melanoma de extensión superficial, metástasis"	"Melanoma, extensión superficial, metástasis"		
8744/3	Melanoma maligno lentiginoso acral	Melanoma maligno lentiginoso acral		
8744/6	"Melanoma maligno lentiginoso acral, metástasis"	"Melanoma maligno lentiginoso acral, metástasis"		
8745/3	"Melanoma desmoplásico, maligno"	"Melanoma desmoplásico, maligno"		
8745/6	"Melanoma desmoplásico, maligno, metástasis"	"Melanoma desmoplásico, maligno, metástasis"		
8746/3	Melanoma lentiginoso de mucosa	"Melanoma lentiginoso, mucosa"		
8746/6	"Melanoma lentiginoso de mucosa, metástasis"	"Melanoma lentiginoso, mucosa, metástasis"		
8750/0	Nevus intradérmico	Nevus intradérmico		
8760/0	Nevus compuesto	Nevus compuesto		
8761/0	Nevus congénito pequeño	Nevus congénito pequeño		
8761/1	"Nevus pigmentado gigante, SAI"	"Nevus pigmentado gigante, SAI"		
8761/3	Melanoma maligno en nevus pigmentado gigante	Melanoma maligno en nevus pigmentado gigante		
8761/6	"Melanoma maligno en nevus pigmentado gigante, metástasis"	"Melanoma maligno en nevus pigmentado gigante, metástasis"		
8762/1	Lesión dérmica proliferativa en nevus congénito	Lesión dérmica proliferativa en nevus congénito		
8770/0	Nevus de células epitelioides y fusiformes	"Nevus, cél. epitelioides y fusiformes"		
8770/3	Melanoma mixto de células epitelioides y fusiformes	"Melanoma mixto, cél. epitelioides y fusiformes"		
8770/6	"Melanoma mixto de células epitelioides y fusiformes, metástasis"	"Melanoma mixto, cél. epitelioides y fusiformes, metástasis"		
8771/0	Nevus de células epitelioides	"Nevus, cél. epitelioides"		
8771/3	Melanoma de células epitelioides	"Melanoma, cél. epitelioides"		
8771/6	"Melanoma de células epitelioides, metástasis"	"Melanoma, cél. epitelioides, metástasis"		
8772/0	"Nevus fusocelular, SAI"	"Nevus fusocelular, SAI"		
8772/3	"Melanoma fusocelular, SAI"	"Melanoma fusocelular, SAI"		
8772/6	"Melanoma fusocelular, SAI, metástasis"	"Melanoma fusocelular, SAI, metástasis"		
8773/3	"Melanoma de células fusiformes, tipo A"	"Melanoma, cél. fusiformes, tipo A"		
8773/6	"Melanoma de células fusiformes, tipo A, metástasis"	"Melanoma, cél. fusiformes, tipo A, metástasis"		
8774/3	"Melanoma de células fusiformes, tipo B"	"Melanoma, cél. fusiformes, tipo B"		
8774/6	"Melanoma de células fusiformes, tipo B, metástasis"	"Melanoma, cél. fusiformes, tipo B, metástasis"		
8780/0	"Nevus azul, SAI"	"Nevus azul, SAI"		
8780/3	Nevus azul maligno	Nevus azul maligno		
8780/6	"Nevus azul maligno, metástasis"	"Nevus azul maligno, metástasis"		
8790/0	Nevus azul celular	Nevus azul celular		
8800/0	Tumor benigno de tejidos blandos	"Tum. benigno, tejidos blandos"		
8800/3	"Sarcoma, SAI"	"Sarcoma, SAI"		
8800/6	"Sarcoma, SAI, metástasis"	"Sarcoma, SAI, metástasis"		
8800/9	"Sarcomatosis, SAI"	"Sarcomatosis, SAI"		
8801/3	"Sarcoma fusocelular, SAI"	"Sarcoma fusocelular, SAI"		
8801/6	"Sarcoma fusocelular, SAI, metástasis"	"Sarcoma fusocelular, SAI, metástasis"		
8802/3	Sarcoma de células gigantes	"Sarcoma, cél. gigantes"		
8802/6	"Sarcoma de células gigantes, metástasis"	"Sarcoma, cél. gigantes, metástasis"		
8803/3	Sarcoma de células pequeñas	"Sarcoma, cél. pequeñas"		
8803/6	"Sarcoma de células pequeñas, metástasis"	"Sarcoma, cél. pequeñas, metástasis"		
8804/3	Sarcoma epitelioide	Sarcoma epitelioide		
8804/6	"Sarcoma epitelioide, metástasis"	"Sarcoma epitelioide, metástasis"		
8805/3	Sarcoma indiferenciado	Sarcoma indiferenciado		
8805/6	"Sarcoma indiferenciado, metástasis"	"Sarcoma indiferenciado, metástasis"		
8806/3	Tumor desmoplásico de células redondas pequeñas	"Tum. desmoplásico, cél. redondas pequeñas"		
8806/6	"Tumor desmoplásico de células redondas pequeñas, metástasis"	"Tum. desmoplásico, cél. redondas pequeñas, metástasis"		
8810/0	"Fibroma, SAI"	"Fibroma, SAI"		
8810/1	Fibroma celular	Fibroma celular		
8810/3	"Fibrosarcoma, SAI"	"Fibrosarcoma, SAI"		
8810/6	"Fibrosarcoma, SAI, metástasis"	"Fibrosarcoma, SAI, metástasis"		
8811/0	Fibromixoma 	Fibromixoma 		
8811/3	Fibromixosarcoma	Fibromixosarcoma		
8811/6	"Fibromixosarcoma, metástasis"	"Fibromixosarcoma, metástasis"		
8812/0	Fibroma perióstico	Fibroma perióstico		
8812/3	Fibrosarcoma perióstico	Fibrosarcoma perióstico		
8812/6	"Fibrosarcoma perióstico, metástasis"	"Fibrosarcoma perióstico, metástasis"		
8813/0	Fibroma fascial	Fibroma fascial		
8813/3	Fibrosarcoma fascial	Fibrosarcoma fascial		
8813/6	"Fibrosarcoma fascial, metástasis"	"Fibrosarcoma fascial, metástasis"		
8814/3	Fibrosarcoma infantil	Fibrosarcoma infantil		
8814/6	"Fibrosarcoma infantil, metástasis"	"Fibrosarcoma infantil, metástasis"		
8815/0	Tumor fibroso solitario	Tum. fibroso solitario		
8815/3	"Tumor fibroso solitario, maligno"	"Tum. fibroso solitario, maligno"		
8815/6	"Tumor fibroso solitario, maligno, metástasis"	"Tum. fibroso solitario, maligno, metástasis"		
8820/0	Elastofibroma	Elastofibroma		
8821/1	Fibromatosis agresiva	Fibromatosis agresiva		
8822/1	Fibromatosis abdominal	Fibromatosis abdominal		
8823/0	Fibroma desmoplásico	Fibroma desmoplásico		
8824/0	Miofibroma	Miofibroma		
8824/1	Miofibromatosis	Miofibromatosis		
8825/0	Miofibroblastoma	Miofibroblastoma		
8825/1	"Tumor miofibroblástico, SAI"	"Tum. miofibroblástico, SAI"		
8826/0	Angiomiofibroblastoma	Angiomiofibroblastoma		
8827/1	Tumor miofibroblástico peribronquial	Tum. miofibroblástico peribronquial		
8830/0	Histiocitoma fibroso benigno	Histiocitoma fibroso benigno		
8830/1	Fibrohistiocitoma atípico	Fibrohistiocitoma atípico		
8830/3	Histiocitoma fibroso maligno	Histiocitoma fibroso maligno		
8830/6	"Histiocitoma fibroso maligno, metástasis"	"Histiocitoma fibroso maligno, metástasis"		
8831/0	"Histiocitoma, SAI"	"Histiocitoma, SAI"		
8832/0	"Dermatofibroma, SAI"	"Dermatofibroma, SAI"		
8832/3	"Dermatofibrosarcoma, SAI"	"Dermatofibrosarcoma, SAI"		
8832/6	"Dermatofibrosarcoma, SAI, metástasis"	"Dermatofibrosarcoma, SAI, metástasis"		
8833/3	Dermatofibrosarcoma protuberans pigmentado	Dermatofibrosarcoma protuberans pigmentado		
8833/6	"Dermatofibrosarcoma protuberans pigmentado, metástasis"	"Dermatofibrosarcoma protuberans pigmentado, metástasis"		
8834/1	Fibroblastoma de células gigantes	"Fibroblastoma, cél. gigantes"		
8835/1	Tumor fibrohistiocítico plexiforme	Tum. fibrohistiocítico plexiforme		
8836/1	Fibrohistiocitoma angiomatoide	Fibrohistiocitoma angiomatoide		
8840/0	"Mixoma, SAI"	"Mixoma, SAI"		
8840/3	Mixosarcoma	Mixosarcoma		
8840/6	"Mixosarcoma, metástasis"	"Mixosarcoma, metástasis"		
8841/1	Angiomixoma	Angiomixoma		
8842/0	Tumor fibromixoide osificante	Tum. fibromixoide osificante		
8850/0	"Lipoma, SAI"	"Lipoma, SAI"		
8850/1	Lipoma atípico	Lipoma atípico		
8850/3	"Liposarcoma, SAI"	"Liposarcoma, SAI"		
8850/6	"Liposarcoma, SAI, metástasis"	"Liposarcoma, SAI, metástasis"		
8851/0	Fibrolipoma	Fibrolipoma		
8851/3	Liposarcoma bien diferenciado	Liposarcoma bien diferenciado		
8851/6	"Liposarcoma bien diferenciado, metástasis"	"Liposarcoma bien diferenciado, metástasis"		
8852/0	Fibromixolipoma	Fibromixolipoma		
8852/3	Liposarcoma mixoide	Liposarcoma mixoide		
8852/6	"Liposarcoma mixoide, metástasis"	"Liposarcoma mixoide, metástasis"		
8853/3	Liposarcoma de células redondas	"Liposarcoma, cél. redondas"		
8853/6	"Liposarcoma de células redondas, metástasis"	"Liposarcoma, cél. redondas, metástasis"		
8854/0	Lipoma pleomorfo	Lipoma pleomorfo		
8854/3	Liposarcoma pleomorfo	Liposarcoma pleomorfo		
8854/6	"Liposarcoma pleomorfo, metástasis"	"Liposarcoma pleomorfo, metástasis"		
8855/3	Liposarcoma mixto	Liposarcoma mixto		
8855/6	"Liposarcoma mixto, metástasis"	"Liposarcoma mixto, metástasis"		
8856/0	Lipoma intramuscular	Lipoma intramuscular		
8857/0	Lipoma fusocelular	Lipoma fusocelular		
8857/3	Liposarcoma fibroblástico	Liposarcoma fibroblástico		
8857/6	"Liposarcoma fibroblástico, metástasis"	"Liposarcoma fibroblástico, metástasis"		
8858/3	Liposarcoma desdiferenciado	Liposarcoma desdiferenciado		
8858/6	"Liposarcoma desdiferenciado, metástasis"	"Liposarcoma desdiferenciado, metástasis"		
8860/0	Angiomiolipoma	Angiomiolipoma		
8861/0	"Angiolipoma, SAI"	"Angiolipoma, SAI"		
8862/0	Lipoma condroide	Lipoma condroide		
8870/0	Mielolipoma	Mielolipoma		
8880/0	Hibernoma 	Hibernoma 		
8881/0	Lipoblastomatosis	Lipoblastomatosis		
8890/0	"Leiomioma, SAI "	"Leiomioma, SAI "		
8890/1	"Leiomiomatosis, SAI"	"Leiomiomatosis, SAI"		
8890/3	"Leiomiosarcoma, SAI"	"Leiomiosarcoma, SAI"		
8890/6	"Leiomiosarcoma, SAI, metástasis"	"Leiomiosarcoma, SAI, metástasis"		
8891/0	Leiomioma epitelioide	Leiomioma epitelioide		
8891/3	Leiomiosarcoma epitelioide	Leiomiosarcoma epitelioide		
8891/6	"Leiomiosarcoma epitelioide, metástasis"	"Leiomiosarcoma epitelioide, metástasis"		
8892/0	Leiomioma celular	Leiomioma celular		
8893/0	Leiomioma atípico	Leiomioma atípico		
8894/0	Angiomioma	Angiomioma		
8894/3	Angiomiosarcoma	Angiomiosarcoma		
8894/6	"Angiomiosarcoma, metástasis"	"Angiomiosarcoma, metástasis"		
8895/0	Mioma	Mioma		
8895/3	Miosarcoma	Miosarcoma		
8895/6	"Miosarcoma, metástasis"	"Miosarcoma, metástasis"		
8896/3	Leiomiosarcoma mixoide	Leiomiosarcoma mixoide		
8896/6	"Leiomiosarcoma mixoide, metástasis"	"Leiomiosarcoma mixoide, metástasis"		
8897/1	Tumor de músculo liso de potencial maligno incierto	"Tumor, músculo liso, potencial maligno incierto"		
8898/1	Leiomioma metastatizante	Leiomioma metastatizante		
8900/0	"Rabdomioma, SAI"	"Rabdomioma, SAI"		
8900/3	"Rabdomiosarcoma, SAI"	"Rabdomiosarcoma, SAI"		
8900/6	"Rabdomiosarcoma, SAI, metástasis"	"Rabdomiosarcoma, SAI, metástasis"		
8901/3	"Rabdomiosarcoma pleomorfo, tipo adulto"	"Rabdomiosarcoma pleomorfo, tipo adulto"		
8901/6	"Rabdomiosarcoma pleomorfo, tipo adulto, metástasis"	"Rabdomiosarcoma pleomorfo, tipo adulto, metástasis"		
8902/3	Rabdomiosarcoma de tipo mixto	"Rabdomiosarcoma, tipo mixto"		
8902/6	"Rabdomiosarcoma de tipo mixto, metástasis"	"Rabdomiosarcoma, tipo mixto, metástasis"		
8903/0	Rabdomioma fetal	Rabdomioma fetal		
8904/0	Rabdomioma adulto	Rabdomioma adulto		
8905/0	Rabdomioma genital	Rabdomioma genital		
8910/3	Rabdomiosarcoma embrionario	Rabdomiosarcoma embrionario		
8910/6	"Rabdomiosarcoma embrionario, metástasis"	"Rabdomiosarcoma embrionario, metástasis"		
8912/3	Rabdomiosarcoma de células fusiformes	"Rabdomiosarcoma, cél. fusiformes"		
8912/6	"Rabdomiosarcoma de células fusiformes, metástasis"	"Rabdomiosarcoma, cél. fusiformes, metástasis"		
8920/3	Rabdomiosarcoma alveolar	Rabdomiosarcoma alveolar		
8920/6	"Rabdomiosarcoma alveolar, metástasis"	"Rabdomiosarcoma alveolar, metástasis"		
8921/3	Rabdomiosarcoma con diferenciación ganglionar	Rabdomiosarcoma con diferenciación ganglionar		
8921/6	"Rabdomiosarcoma con diferenciación ganglionar, metástasis"	"Rabdomiosarcoma con diferenciación ganglionar, metástasis"		
8930/0	Nódulo del estroma endometrial	"Nódulo, estroma endometrial"		
8930/3	"Sarcoma del estroma endometrial, SAI"	"Sarcoma, estroma endometrial, SAI"		
8930/6	"Sarcoma del estroma endometrial, SAI, metástasis"	"Sarcoma, estroma endometrial, SAI, metástasis"		
8931/3	Sarcoma del estroma endometrial de bajo grado	"Sarcoma, estroma endometrial, bajo grado"		
8931/6	"Sarcoma del estroma endometrial de bajo grado, metástasis"	"Sarcoma, estroma endometrial, bajo grado, metástasis"		
8932/0	Adenomioma	Adenomioma		
8933/3	Adenosarcoma	Adenosarcoma		
8933/6	"Adenosarcoma, metástasis"	"Adenosarcoma, metástasis"		
8934/3	Carcinofibroma	Carcinofibroma		
8934/6	"Carcinofibroma, metástasis"	"Carcinofibroma, metástasis"		
8935/0	Tumor estromal benigno	Tum. estromal benigno		
8935/1	"Tumor estromal, SAI"	"Tum. estromal, SAI"		
8935/3	"Sarcoma estromal, SAI"	"Sarcoma estromal, SAI"		
8935/6	"Sarcoma estromal, SAI, metástasis"	"Sarcoma estromal, SAI, metástasis"		
8936/0	"Tumor del estroma gastrointestinal, benigno"	"Tumor, estroma gastrointestinal, benigno"		
8936/1	"Tumor del estroma gastrointestinal, SAI"	"Tumor, estroma gastrointestinal, SAI"		
8936/3	Sarcoma del estroma gastrointestinal	"Sarcoma, estroma gastrointestinal"		
8936/6	"Sarcoma del estroma gastrointestinal, metástasis"	"Sarcoma, estroma gastrointestinal, metástasis"		
8940/0	Adenoma pleomorfo	Adenoma pleomorfo		
8940/3	"Tumor mixto maligno, SAI"	"Tum. mixto maligno, SAI"		
8940/6	"Tumor mixto maligno, SAI, metástasis"	"Tum. mixto maligno, SAI, metástasis"		
8941/3	Carcinoma en adenoma pleomorfo	Ca. en adenoma pleomorfo		
8941/6	"Carcinoma en adenoma pleomorfo, metástasis"	"Ca. en adenoma pleomorfo, metástasis"		
8950/3	Tumor mülleriano mixto	Tum. mülleriano mixto		
8950/6	"Tumor mülleriano mixto, metástasis"	"Tum. mülleriano mixto, metástasis"		
8951/3	Tumor mesodérmico mixto	Tum. mesodérmico mixto		
8951/6	"Tumor mesodérmico mixto, metástasis"	"Tum. mesodérmico mixto, metástasis"		
8959/0	Nefroma quístico benigno	Nefroma quístico benigno		
8959/1	Nefroblastoma quístico parcialmente diferenciado	Nefroblastoma quístico parcialmente diferenciado		
8959/3	Nefroma quístico maligno	Nefroma quístico maligno		
8959/6	"Nefroma quístico maligno, metástasis"	"Nefroma quístico maligno, metástasis"		
8960/1	Nefroma mesoblástico	Nefroma mesoblástico		
8960/3	"Nefroblastoma, SAI"	"Nefroblastoma, SAI"		
8960/6	"Nefroblastoma, SAI, metástasis"	"Nefroblastoma, SAI, metástasis"		
8963/3	Tumor rabdoide maligno	Tum. rabdoide maligno		
8963/6	"Tumor rabdoide maligno, metástasis"	"Tum. rabdoide maligno, metástasis"		
8964/3	Sarcoma de células claras del riñón	"Sarcoma, cél. claras, riñón"		
8964/6	"Sarcoma de células claras del riñón, metástasis"	"Sarcoma, cél. claras, riñón, metástasis"		
8965/0	Adenofibroma nefrogénico	Adenofibroma nefrogénico		
8966/0	Tumor de células intersticiales de médula renal	"Tumor, cél. intersticiales, médula renal"		
8967/0	Tumor renal osificante	Tum. renal osificante		
8970/3	Hepatoblastoma	Hepatoblastoma		
8970/6	"Hepatoblastoma, metástasis"	"Hepatoblastoma, metástasis"		
8971/3	Pancreatoblastoma	Pancreatoblastoma		
8971/6	"Pancreatoblastoma, metástasis"	"Pancreatoblastoma, metástasis"		
8972/3	Blastoma pulmonar	Blastoma pulmonar		
8972/6	"Blastoma pulmonar, metástasis"	"Blastoma pulmonar, metástasis"		
8973/3	Blastoma pleuropulmonar	Blastoma pleuropulmonar		
8973/6	"Blastoma pleuropulmonar, metástasis"	"Blastoma pleuropulmonar, metástasis"		
8974/1	Sialoblastoma	Sialoblastoma		
8975/1	Tumor del estroma epitelial anidado calcificante	"Tumor, estroma epitelial anidado calcificante"		
8980/3	"Carcinosarcoma, SAI"	"Carcinosarcoma, SAI"		
8980/6	"Carcinosarcoma, SAI, metástasis"	"Carcinosarcoma, SAI, metástasis"		
8981/3	Carcinosarcoma embrionario	Carcinosarcoma embrionario		
8981/6	"Carcinosarcoma embrionario, metástasis"	"Carcinosarcoma embrionario, metástasis"		
8982/0	Mioepitelioma 	Mioepitelioma 		
8982/3	Mioepitelioma maligno	Mioepitelioma maligno		
8982/6	"Mioepitelioma maligno, metástasis"	"Mioepitelioma maligno, metástasis"		
8983/0	Adenomioepitelioma	Adenomioepitelioma		
8990/0	Mesenquimoma benigno	Mesenquimoma benigno		
8990/1	"Mesenquimoma, SAI "	"Mesenquimoma, SAI "		
8990/3	Mesenquimoma maligno	Mesenquimoma maligno		
8990/6	"Mesenquimoma maligno, metástasis"	"Mesenquimoma maligno, metástasis"		
8991/3	Sarcoma embrionario	Sarcoma embrionario		
8991/6	"Sarcoma embrionario, metástasis"	"Sarcoma embrionario, metástasis"		
9000/0	"Tumor de Brenner, SAI"	"Tumor, Brenner, SAI"		
9000/1	Tumor de Brenner de malignidad borderline	"Tumor, Brenner, malignidad borderline"		
9000/3	Tumor de Brenner maligno	"Tumor, Brenner maligno"		
9000/6	"Tumor de Brenner maligno, metástasis"	"Tumor, Brenner maligno, metástasis"		
9010/0	"Fibroadenoma, SAI"	"Fibroadenoma, SAI"		
9011/0	Fibroadenoma intraductal	Fibroadenoma intraductal		
9012/0	Fibroadenoma pericanalicular	Fibroadenoma pericanalicular		
9013/0	"Adenofibroma, SAI"	"Adenofibroma, SAI"		
9014/0	"Adenofibroma seroso, SAI"	"Adenofibroma seroso, SAI"		
9014/1	Adenofibroma seroso de malignidad borderline	"Adenofibroma seroso, malignidad borderline"		
9014/3	Adenocarcinofibroma seroso	Adenocarcinofibroma seroso		
9014/6	"Adenocarcinofibroma seroso, metástasis"	"Adenocarcinofibroma seroso, metástasis"		
9015/0	"Adenofibroma mucinoso, SAI"	"Adenofibroma mucinoso, SAI"		
9015/1	Adenofibroma mucinoso de malignidad borderline	"Adenofibroma mucinoso, malignidad borderline"		
9015/3	Adenocarcinofibroma mucinoso	Adenocarcinofibroma mucinoso		
9015/6	"Adenocarcinofibroma mucinoso, metástasis"	"Adenocarcinofibroma mucinoso, metástasis"		
9016/0	Fibroadenoma gigante	Fibroadenoma gigante		
9020/0	Tumor filodes benigno	Tum. filodes benigno		
9020/1	Tumor filodes borderline	Tum. filodes borderline		
9020/3	Tumor filodes maligno	Tum. filodes maligno		
9020/6	"Tumor filodes maligno, metástasis"	"Tum. filodes maligno, metástasis"		
9030/0	Fibroadenoma juvenil	Fibroadenoma juvenil		
9040/0	Sinovioma benigno	Sinovioma benigno		
9040/3	"Sarcoma sinovial , SAI"	"Sarcoma sinovial , SAI"		
9040/6	"Sarcoma sinovial , SAI, metástasis"	"Sarcoma sinovial , SAI, metástasis"		
9041/3	"Sarcoma sinovial, tipo fusocelular"	"Sarcoma sinovial, tipo fusocelular"		
9041/6	"Sarcoma sinovial, tipo fusocelular, metástasis"	"Sarcoma sinovial, tipo fusocelular, metástasis"		
9042/3	Sarcoma sinovial de células epitelioides	"Sarcoma sinovial, cél. epitelioides"		
9042/6	"Sarcoma sinovial de células epitelioides, metástasis"	"Sarcoma sinovial, cél. epitelioides, metástasis"		
9043/3	"Sarcoma sinovial, tipo bifásico"	"Sarcoma sinovial, tipo bifásico"		
9043/6	"Sarcoma sinovial, tipo bifásico, metástasis"	"Sarcoma sinovial, tipo bifásico, metástasis"		
